  119  119.13       36.9       0.29       10.      7.09 0.2932    0.0067   31.00
  120  120.13       36.3      0.287      9.98      7.06 0.2932    0.0064   29.93
  121  121.13       35.7      0.288      10.1      7.16 0.2932    0.0065   27.54
  122  122.13       36.8      0.301      10.6      7.46 0.3077    0.0059   27.54
  123  123.13       35.5      0.282      9.96      7.04 0.3077    0.0062   27.54
  124  124.13       34.2      0.283      10.1      7.12 0.3077    0.0069   27.54
  125  125.13       33.2      0.282      10.1      7.16 0.3077    0.0063   28.37
  126  126.13       31.8      0.285      10.3      7.27 0.2995    0.0073   29.57
  127  127.13       31.4      0.265      9.59      6.78 0.2995    0.0067   29.57
  128  128.13       30.3      0.281      10.2      7.24 0.2995    0.0095   29.57
  129  129.13       29.7      0.245      8.91       6.3 0.2995    0.0070   29.57
  130  130.13       29.9      0.255      9.31      6.59 0.3046    0.0067   29.57
  131  131.13        29.      0.256      9.39      6.64 0.3046    0.0067   30.52
  132  132.13       28.1      0.258      9.49      6.71 0.3046    0.0082   30.52
  133  133.13       26.8      0.269      9.98      7.06 0.2936    0.0088   30.52
  134  134.13       26.6      0.252      9.43      6.67 0.2893    0.0079   29.56
  135  135.13       27.8      0.248      9.19       6.5 0.3142    0.0071   29.56
  136  136.13       24.4      0.261      9.81      6.94 0.2817    0.0107   29.56
  137  137.13       25.3      0.266       10.      7.07 0.3026    0.0081   29.56
  138  138.13        23.      0.259      9.82      6.94 0.2798    0.0105   29.09
  139  139.13       23.2      0.247       9.4      6.65 0.2798    0.0105   30.51
  140  140.13       23.1      0.239      9.06      6.41 0.2909    0.0096   31.47
  141  141.13       22.8       0.24      9.13      6.46 0.2909    0.0097   29.75
  142  142.13       21.9      0.253      9.64      6.82 0.2909    0.0099   29.75
  143  143.13        22.      0.257      9.84      6.95 0.2909    0.0096   31.38
  144  144.13       21.6      0.245      9.38      6.63 0.2909    0.0089   30.07
  145  145.13       21.1       0.25      9.63      6.81 0.2909    0.0090   30.07
  146  146.13        21.      0.238      9.14      6.47 0.2909    0.0082   30.07
  147  147.13       20.4      0.244      9.43      6.67 0.2909    0.0099   30.07
  148  148.13       19.9      0.252      9.78      6.91 0.2909    0.0109   27.96
  149  149.13       19.1       0.24      9.43      6.67 0.2827    0.0106   27.96
  150  150.13       19.6      0.243      9.54      6.75 0.2913    0.0100   27.96
  151  151.13       19.1      0.247      9.75      6.89 0.2962    0.0121   29.86
  152  152.13       18.8      0.241      9.54      6.74 0.2962    0.0076   29.86
  153  153.13       18.4      0.244       9.7      6.86 0.2962    0.0089   28.59
  154  154.13       18.1      0.253      10.1      7.11 0.3053    0.0093   28.59
  155  155.13       17.2       0.23      9.25      6.54 0.2871    0.0096   30.19
  156  156.13       16.3      0.235       9.5      6.72 0.2871    0.0148   27.87
  157  157.13       16.8      0.241       9.7      6.86 0.2971    0.0101   28.81
  158  158.13       16.1      0.215      8.67      6.13 0.2884    0.0115   28.45
  159  159.13       15.3      0.223      9.07      6.41 0.2884    0.0123   28.45
  160  160.13       15.7       0.23      9.35      6.61 0.3004    0.0133   28.70
  161  161.13       15.4      0.222      9.06      6.41 0.3004    0.0115   28.70
  162  162.13       14.8      0.233      9.58      6.78 0.2889    0.0135   27.37
  163  163.13       14.8      0.234      9.64      6.82 0.2961    0.0107   27.37
  164  164.13        15.      0.227      9.33       6.6 0.3087    0.0110   26.67
  165  165.13        15.      0.234      9.65      6.82 0.3100    0.0086   27.84
  166  166.13       14.5      0.239      9.82      6.95 0.3095    0.0101   27.75
  167  167.13       14.6      0.231       9.5      6.72 0.3171    0.0104   27.75
  168  168.13       14.1      0.251      10.4      7.35 0.3186    0.0122   27.75
  169  169.13       14.6      0.227      9.36      6.62 0.3186    0.0095   26.63 
