 #N     h      T-rule     S-rule    G-Quad            eT            eS            eG
489   0.0064  1.999993  2.000000  1.999997    0.339746E-05    0.000000E+00    0.137091E-05
493   0.0064  1.999993  2.000000  1.999998    0.339746E-05    0.238419E-06    0.834465E-06
497   0.0063  1.999993  2.000000  1.999998    0.333786E-05    0.119209E-06    0.953674E-06
501   0.0063  1.999994  2.000000  1.999998    0.321865E-05    0.119209E-06    0.107288E-05
505   0.0062  1.999993  2.000000  1.999997    0.339746E-05    0.238419E-06    0.131130E-05
509   0.0062  1.999993  2.000000  1.999999    0.351667E-05    0.119209E-06    0.715256E-06
513   0.0061  1.999993  2.000002  1.999999    0.357628E-05    0.953674E-06    0.715256E-06
517   0.0061  1.999993  2.000000  1.999999    0.327826E-05    0.000000E+00    0.596046E-06
521   0.0060  1.999995  2.000000  1.999998    0.274181E-05    0.119209E-06    0.113249E-05
525   0.0060  1.999995  2.000001  1.999998    0.250340E-05    0.357628E-06    0.107288E-05
529   0.0059  1.999995  2.000000  1.999998    0.256300E-05    0.000000E+00    0.107288E-05
533   0.0059  1.999994  2.000000  1.999999    0.315905E-05    0.119209E-06    0.655651E-06
537   0.0059  1.999994  2.000001  1.999998    0.280142E-05    0.357628E-06    0.774860E-06
541   0.0058  1.999995  1.999999  1.999998    0.268221E-05    0.417233E-06    0.894070E-06
545   0.0058  1.999995  2.000000  2.000000    0.244379E-05    0.119209E-06    0.000000E+00
549   0.0057  1.999994  2.000000  1.999998    0.298023E-05    0.238419E-06    0.774860E-06
553   0.0057  1.999994  2.000001  1.999998    0.303984E-05    0.476837E-06    0.953674E-06
557   0.0057  1.999995  2.000000  1.999998    0.244379E-05    0.178814E-06    0.774860E-06
561   0.0056  1.999995  2.000000  1.999998    0.274181E-05    0.238419E-06    0.894070E-06
565   0.0056  1.999996  2.000000  2.000000    0.214577E-05    0.119209E-06    0.178814E-06
569   0.0055  1.999994  2.000000  1.999998    0.280142E-05    0.238419E-06    0.953674E-06
573   0.0055  1.999995  2.000000  2.000000    0.250340E-05    0.119209E-06    0.238419E-06
577   0.0055  1.999995  2.000000  2.000000    0.232458E-05    0.119209E-06    0.000000E+00
581   0.0054  1.999996  2.000001  1.999999    0.208616E-05    0.476837E-06    0.536442E-06
585   0.0054  1.999995  2.000000  1.999999    0.274181E-05    0.178814E-06    0.655651E-06
589   0.0053  1.999996  2.000000  1.999999    0.208616E-05    0.596046E-07    0.596046E-06
593   0.0053  1.999995  2.000000  1.999998    0.238419E-05    0.238419E-06    0.894070E-06
597   0.0053  1.999995  2.000000  1.999998    0.244379E-05    0.596046E-07    0.107288E-05
601   0.0052  1.999994  2.000000  1.999999    0.286102E-05    0.119209E-06    0.715256E-06
605   0.0052  1.999996  2.000000  1.999999    0.202656E-05    0.119209E-06    0.715256E-06
609   0.0052  1.999996  2.000000  1.999998    0.208616E-05    0.000000E+00    0.774860E-06
613   0.0051  1.999996  2.000000  1.999999    0.214577E-05    0.000000E+00    0.417233E-06
617   0.0051  1.999995  2.000000  1.999999    0.232458E-05    0.238419E-06    0.357628E-06
621   0.0051  1.999995  2.000000  2.000000    0.250340E-05    0.119209E-06    0.119209E-06
625   0.0050  1.999995  2.000001  1.999998    0.226498E-05    0.357628E-06    0.834465E-06
